case,fid,signal
7009754,722,
7009755,735,26v
8006278,58,14tpw
00005161,643,26v
06009809,###,
06009809,###,18
07000101,###,
07000101,###,27
07000110,###,
07000110,###,43
07000120,###,
07000120,###,
07000120,###,26
07000120,###,28
07000131,###,
07000131,###,54
07000142,###,
07000142,###,41
07000168,###,
07000168,###,41
07000273,###,
07000273,###,26v
07000317,###,
07000317,###,35j
07000318,###,
07000318,###,35
07000319,###,
07000319,###,17
07000377,###,
07000377,###,28
07000380,###,
07000380,###,14
07000385,###,
07000385,###,35
07000388,###,
07000388,###,35
07000391,###,
07000391,###,54
07000393,###,
07000393,###,14
07000394,###,
07000394,###,27
07000395,###,
07000395,###,18
07000399,###,
07000399,###,35
07000403,###,
07000403,###,14tpw
07000405,###,
07000405,###,49
07000409,###,
07000409,###,
07000409,###,14
07000409,###,27
07000413,###,
07000413,###,52
07000419,###,
07000419,###,27
07000425,###,
07000425,###,14lpr
07000426,###,
07000426,###,49
07000438,###,
07000438,###,14tpw
07000454,###,
07000454,###,41
07000455,###,
07000455,###,
07000455,###,
07000455,###,14
07000455,###,28
07000455,###,35j
07000456,###,
07000456,###,26
07000486,###,
07000486,###,35y
07000494,###,
07000494,###,35j
07000495,###,
07000495,###,28
07000497,###,
07000497,###,28
07000506,###,
07000506,###,52
07000508,###,
07000508,###,28
07000532,###,
07000532,###,
07000532,###,33exp
07000532,###,26v
07000533,###,
07000533,###,
07000533,###,35j
07000533,###,14lpr
07000534,###,
07000534,###,28
07000538,###,
07000538,###,27
07000561,###,
07000561,###,27
07000586,###,
07000586,###,934
07000599,###,
07000599,###,39
07000601,###,
07000601,###,38
07000603,###,
07000603,###,27
07000619,###,
07000619,###,26
07000621,###,
07000621,###,14lpr
07000623,###,
07000623,###,27
07000629,###,
07000629,###,14tpw
07000645,###,
07000645,###,14lpr
07000649,###,
07000649,###,26v
07000651,###,
07000651,###,
07000651,###,
07000651,###,32
07000651,###,28
07000651,###,14tpw
07000656,###,
07000656,###,47
07000658,###,
07000658,###,27un
07000659,###,
07000659,###,27
07000661,###,
07000661,###,14tpw
07000662,###,
07000662,###,14
07000663,###,
07000663,###,41
07000670,###,
07000670,###,27un
07000688,###,
07000688,###,27
07000689,###,
07000689,###,41
07000690,###,
07000690,###,35
07000708,###,
07000708,###,18
07000711,###,
07000711,###,27
07000713,###,
07000713,###,
07000713,###,28
07000713,###,27
07000752,###,
07000752,###,17
07000790,###,
07000790,###,25f
07000794,###,
07000794,###,35j
07000807,###,
07000807,###,28
07000809,###,
07000809,###,14tpw
07000811,###,
07000811,###,54
07000816,###,
07000816,###,27
07000820,###,
07000820,###,27
07000821,###,
07000821,###,14tpw
07000822,###,
07000822,###,14
07000823,###,
07000823,###,27
07000824,###,
07000824,###,
07000824,###,54
07000824,###,32
07000835,###,
07000835,###,14tpw
07000837,###,
07000837,###,
07000837,###,41
07000837,###,41
07000840,###,
07000840,###,32
07000841,###,
07000841,###,14tpw
07000843,###,
07000843,###,35j
07000846,###,
07000846,###,35j
07000849,###,
07000849,###,35
07000853,###,
07000853,###,27
07000859,###,
07000859,###,14tpw
07000863,###,
07000863,###,18
07000874,###,
07000874,###,14tpw
07000875,###,
07000875,###,27
07000881,###,
07000881,###,41
07000885,###,
07000885,###,16
07000886,###,
07000886,###,27
07000889,###,
07000889,###,
07000889,###,34
07000889,###,27
07000893,###,
07000893,###,14tpw
07000896,###,
07000896,###,14tpw
07000897,###,
07000897,###,54
07000898,###,
07000898,###,28
07000923,###,
07000923,###,27
07000924,###,
07000924,###,27
07000925,###,
07000925,###,28
07000926,###,
07000926,###,14
07000932,###,
07000932,###,52
07000941,###,
07000941,###,14
07000951,###,
07000951,###,
07000951,###,34
07000951,###,18
07000956,###,
07000956,###,26
07000957,###,
07000957,###,28
07000995,###,
07000995,###,41
07000996,###,
07000996,###,41
07001002,###,
07001002,###,14lpr
07001007,###,
07001007,###,27
07001009,###,
07001009,###,21
07001021,###,
07001021,###,28
07001022,###,
07001022,###,27
07001034,###,
07001034,###,28
07001039,###,
07001039,###,
07001039,###,32
07001039,###,14tpw
07001048,###,
07001048,###,14
07001066,###,
07001066,###,35j
07001068,###,
07001068,###,26
07001072,###,
07001072,###,52
07001074,###,
07001074,###,35
07001103,###,
07001103,###,26
07001112,###,
07001112,###,28
07001117,###,
07001117,###,27
07001125,###,
07001125,###,27
07001126,###,
07001126,###,41
07001127,###,
07001127,###,39
07001135,###,
07001135,###,14
07001136,###,
07001136,###,27
07001137,###,
07001137,###,39
07001138,###,
07001138,###,17
07001153,###,
07001153,###,27
07001157,###,
07001157,###,14
07001160,###,
07001160,###,17
07001162,###,
07001162,###,14
07001163,###,
07001163,###,14
07001165,###,
07001165,###,52
07001166,###,
07001166,###,28
07001169,###,
07001169,###,14
07001186,###,
07001186,###,16
07001187,###,
07001187,###,26
07001200,###,
07001200,###,52
07001212,###,
07001212,###,27
07001225,###,
07001225,###,27
07001236,###,
07001236,###,41
07001252,###,
07001252,###,18
07001254,###,
07001254,###,27
07001257,###,
07001257,###,14tpw
07001289,###,
07001289,###,39tp
07001292,###,
07001292,###,26v
07001302,###,
07001302,###,26v
07001319,###,
07001319,###,54
07001321,###,
07001321,###,32
07001331,###,
07001331,###,27b
07001337,###,
07001337,###,26v
07001338,###,
07001338,###,14tpw
07001339,###,
07001339,###,41
07001365,###,
07001365,###,39traff
07001371,###,
07001371,###,17
07001379,###,
07001379,###,28
07001393,###,
07001393,###,54
07001406,###,
07001406,###,17
07001407,###,
07001407,###,28
07001409,###,
07001409,###,28
07001411,###,
07001411,###,27un
07001415,###,
07001415,###,28
07001425,###,
07001425,###,14
07001430,###,
07001430,###,
07001430,###,28
07001430,###,27b
07001438,###,
07001438,###,26
07001439,###,
07001439,###,14
07001445,###,
07001445,###,27un
07001462,###,
07001462,###,14
07001464,###,
07001464,###,27v
07001482,###,
07001482,###,27un
07001483,###,
07001483,###,
07001483,###,54
07001483,###,26
07001491,###,
07001491,###,27
07001499,###,
07001499,###,14
07001500,###,
07001500,###,14tpw
07001503,###,
07001503,###,38
07001529,###,
07001529,###,27
07001530,###,
07001530,###,41
07001539,###,
07001539,###,26
07001561,###,
07001561,###,14tpw
07001563,###,
07001563,###,39
07001572,###,
07001572,###,26
07001580,###,
07001580,###,26
07001594,###,
07001594,###,26
07001595,###,
07001595,###,26
07001596,###,
07001596,###,
07001596,###,26
07001596,###,27
07001606,###,
07001619,###,
07001620,###,
07001627,###,
07001641,###,
07001645,###,
07001677,###,
07001682,###,
07001682,###,
07001684,###,
07001684,###,
07001686,###,
07001712,###,
07001729,###,
07001739,###,
07001740,###,
07001745,###,
07001750,###,
07001760,###,
07001761,###,
07001764,###,
07001776,###,
07001778,###,
07001779,###,
07001788,###,
07001806,###,
07001806,###,
07001816,###,
07001817,###,
07001820,###,
07001824,###,
07001826,###,
07001829,###,
07001830,###,
07001839,###,
07001839,###,
07001844,###,
07001844,###,
07001851,###,
07001860,###,
07001862,###,
07001864,###,
07001878,###,
07001880,###,
07001893,###,
07001905,###,
07001905,###,
07001906,###,
07001909,###,
07001918,###,
07001927,###,
07001934,###,
07001935,###,
07001944,###,
07001965,###,
07001979,###,
07001981,###,
07001996,###,
07001997,###,
07001999,###,
07002003,###,
07002017,###,
07002018,###,
07002025,###,
07002029,###,
07002031,###,
07002032,###,
07002033,###,
07002037,###,
07002046,###,
07002050,###,
07002051,###,
07002052,###,
07002085,###,
07002088,###,
07002090,###,
07002093,###,
07002094,###,
07002098,###,
07002101,###,
07002107,###,
07002109,###,
07002112,###,
07002119,###,
07002123,###,
07002124,###,
07002125,###,
07002129,###,
07002130,###,
07002133,###,
07002134,###,
07002135,###,
07002143,###,
07002143,###,
07002149,###,
07002158,###,
07002159,###,
07002167,###,
07002172,###,
07002186,###,
07002194,###,
07002206,###,
07002210,###,
07002211,###,
07002214,###,
07002252,###,
07002254,###,
07002257,###,
07002259,###,
07002271,###,
07002308,###,
07002325,###,
07002330,###,
07002344,###,
07002348,###,
07002353,###,
07002359,###,
07002372,###,
07002401,###,
07002416,###,
07002442,###,
07002444,###,
07002461,###,
07002485,###,
07002486,###,
07002495,###,
07002497,###,
07002498,###,
07002512,###,
07002515,###,
07002524,###,
07002524,###,
07002526,###,
07002530,###,
07002531,###,
07002532,###,
07002536,###,
07002541,###,
07002545,###,
07002565,###,
07002568,###,
07002571,###,
07002583,###,
07002584,###,
07002625,###,
07002634,###,
07002634,###,
07002636,###,
07002637,###,
07002637,###,
07002637,###,
07002638,###,
07002639,###,
07002642,###,
07002643,###,
07002650,###,
07002664,###,
07002670,###,
07002670,###,
07002672,###,
07002672,###,
07002700,###,
07002703,###,
07002703,###,
07002706,###,
07002723,###,
07002729,###,
07002734,###,
07002748,###,
07002749,###,
07002755,###,
07002766,###,
07002768,###,
07002769,###,
07002770,###,
07002775,###,
07002778,###,
07002797,###,
07002799,###,
07002806,###,
07002810,###,
07002815,###,
07002817,###,
07002820,###,
07002827,###,
07002827,###,
07002843,###,
07002843,###,
07002845,###,
07002877,###,
07002878,###,
07002887,###,
07002919,###,
07002946,###,
07002947,###,
07002951,###,
07002962,###,
07002966,###,
07002974,###,
07002982,###,
07002986,###,
07002989,###,
07002989,###,
07002998,###,
07003000,###,
07003002,###,
07003012,###,
07003032,###,
07003045,###,
07003049,###,
07003051,###,
07003056,###,
07003058,###,
07003060,###,
07003061,###,
07003071,###,
07003091,###,
07003099,###,
07003107,###,
07003112,###,
07003112,###,
07003114,###,
07003116,###,
07003124,###,
07003127,###,
07003145,###,
07003146,###,
07003166,###,
07003171,###,
07003171,###,
07003190,###,
07003192,###,
07003193,###,
07003204,###,
07003208,###,
07003213,###,
07003233,###,
07003237,###,
07003239,###,
07003240,###,
07003242,###,
07003245,###,
07003275,###,
07003275,###,
07003278,###,
07003281,###,
07003291,###,
07003308,###,
07003313,###,
07003317,###,
07003320,###,
07003335,###,
07003344,###,
07003347,###,
07003348,###,
07003351,###,
07003353,###,
07003354,###,
07003362,###,
07003364,31,
07003370,31,
07003377,40,
07003377,40,
07003381,14,
07003384,848,
07003388,199,
07003399,433,
07003414,###,
07003421,###,
07003435,###,
07003442,###,
07003444,###,
07003447,###,
07003454,164,
07003456,238,
07003456,###,
07003457,###,
07003461,###,
07003462,###,
07003463,###,
07003465,###,
07003480,###,
07003497,864,
07003499,###,
07003502,124,
07003502,124,
07003510,###,
07003518,###,
07003521,###,
07003522,###,
07003540,###,
07003543,###,
07003547,12,
07003555,###,
07003569,515,
07003570,###,
07003577,###,
07003606,###,
07003612,632,
07003619,33,
07003644,141,
07003646,140,
07003650,109,
07003650,###,
07003658,132,
07003675,23,
07003681,###,
07003683,###,
07003686,###,
07003689,###,
07003691,###,
07003692,###,
07003695,###,
07003700,###,
07003724,###,
07003731,###,
07003732,###,
07003739,683,
07003751,###,
07003752,###,
07003753,###,
07003754,###,
07003777,###,
07003786,661,
07003797,###,
07003799,###,
07003805,###,
07003806,###,
07003807,###,
07003818,###,
07003828,###,
07003836,124,
07003838,113,
07003848,24,
07003856,36,
07003858,105,
07003860,###,
07003890,###,
07003907,76,
07003908,77,
07003910,76,
07003924,45,
07003938,###,
07003943,###,
07003947,###,
07003965,125,
07004004,125,
07004006,###,
07004006,###,
07004013,###,
07004014,105,
07004016,112,
07004018,105,
07004018,105,
07004018,105,
07004025,###,
07004026,###,
07004028,###,
07004032,###,
07004032,###,
07004033,###,
07004050,###,
07004057,###,
07004064,16,
07004068,###,
07004079,###,
07004091,###,
07004094,###,
07004100,###,
07004104,###,
07004108,###,
07004123,31,
07004133,641,
07004149,16,
07004159,348,
07004161,70,
07004161,70,
07004192,###,
07004199,###,
07004202,###,
07004209,785,
07004210,16,
07004232,###,
07004238,###,
07004242,###,
07004254,783,
07004254,783,
07004259,###,
07004263,###,
07004269,###,
07004271,###,
07004280,###,
07004284,31,
07004285,###,
07004291,122,
07004293,291,
07004294,865,
07004295,###,
07004296,109,
07004297,70,
07004300,###,
07004316,###,
07004316,###,
07004322,###,
07004324,106,
07004324,106,
07004326,###,
07004352,67,
07004354,###,
07004370,17,
07004386,68,
07004386,###,
07004387,31,
07004405,230,
07004416,58,
07004416,58,
07004421,###,
07004426,336,
07004431,576,
07004433,###,
07004438,###,
07004491,###,
07004500,###,
07004523,###,
07004528,###,
07004548,###,
07004550,###,
07004570,###,
07004573,###,
07004574,###,
07004580,###,
07004630,###,
07004642,###,
07004678,###,
07004679,###,
07004691,###,
07004692,###,
07004708,###,
07004709,###,
07004710,###,
07004716,###,
07004745,###,
07004746,###,
07004749,###,
07004757,###,
07004838,241,
07004838,241,
07004861,###,
07004863,###,
07004871,###,
07004874,###,
07004877,###,
07004903,###,
07004906,###,
07004911,###,
07004918,###,
07004923,24,
07004931,###,
07004941,###,
07004941,###,
07004954,###,
07004965,###,
07004965,###,
07004965,###,
07005062,###,
07005062,###,
07005072,###,
07005101,###,
07005107,###,
07005118,11,
07005141,61,
07005147,###,
07005148,###,
07005149,###,
07005159,###,
07005177,###,
07005186,###,
07005221,###,
07005230,###,
07005250,###,
07005252,###,
07005277,###,
07005284,###,
07005296,###,
07005297,###,
07005307,###,
07005313,###,
07005316,###,
07005325,###,
07005337,###,
07005338,###,
07005353,###,
07005378,###,
07005384,###,
07005385,###,
07005390,###,
07005398,###,
07005415,104,
07005417,300,
07005428,101,
07005433,82,
07005454,283,
07005467,###,
07005517,###,
07005521,570,
07005522,###,
07005526,294,
07005529,###,
07005552,###,
07005588,###,
07005629,###,
07005629,###,
07005653,###,
07005666,10,
07005687,###,
07005694,###,
07005697,226,
07005702,324,
07005709,###,
07005710,###,
07005712,31,
07005724,648,
07005737,###,
07005737,###,
07005737,###,
07005781,104,
07005799,136,
07005803,31,
07005829,104,
07005829,###,
07005877,324,
07005916,848,
07005933,###,
07005967,73,
07005967,73,
07005990,135,
07006010,697,
07006022,###,
07006055,###,
07006067,109,
07006091,###,
07006097,###,
07006104,233,
07006104,233,
07006122,###,
07006128,###,
07006133,###,
07006135,###,
07006145,###,
07006155,###,
07006162,###,
07006174,###,
07006178,104,
07006179,###,
07006179,###,
07006182,168,
07006182,168,
07006184,###,
07006202,104,
07006207,###,
07006219,697,
07006222,843,
07006234,###,
07006237,###,
07006243,###,
07006263,###,
07006266,###,
07006295,###,
07006317,701,
07006331,108,
07006331,108,
07006338,122,
07006357,###,
07006362,109,
07006365,###,
07006382,###,
07006401,106,
07006401,106,
07006415,65,
07006419,###,
07006428,105,
07006453,###,
07006475,###,
07006490,###,
07006490,###,
07006498,###,
07006511,###,
07006524,###,
07006524,###,
07006525,###,
07006525,###,
07006542,387,
07006544,78,
07006545,###,
07006576,65,
07006585,###,
07006600,###,
07006606,###,
07006619,697,
07006620,844,
07006640,###,
07006641,###,
07006648,###,
07006660,###,
07006674,###,
07006683,###,
07006684,###,
07006699,###,
07006701,###,
07006712,14,
07006717,###,
07006718,###,
07006729,###,
07006734,###,
07006751,813,
07006768,###,
07006772,###,
07006780,###,
07006788,722,
07006799,###,
07006807,###,
07006809,###,
07006930,67,
07006954,###,
07006955,###,
07006998,###,
07007031,18,
07007037,###,
07007041,140,
07007059,26,
07007059,26,
07007060,7,
07007067,###,
07007071,14,
07007081,###,
07007091,###,
07007092,###,
07007097,648,
07007105,20,
07007125,###,
07007130,26,
07007146,###,
07007148,62,
07007148,62,
07007151,62,
07007156,###,
07007218,###,
07007245,70,
07007246,71,
07007264,###,
07007265,129,
07007280,###,
07007289,72,
07007290,67,
07007293,46,
07007294,###,
07007313,###,
07007313,###,
07007318,###,
07007323,###,
07007328,###,
07007328,###,
07007330,###,
07007349,###,
07007351,219,
07007373,###,
07007380,###,
07007381,###,
07007388,###,
07007391,22,
07007423,###,
07007425,###,
07007426,###,
07007443,###,
07007460,###,
07007487,361,
07007498,395,
07007498,395,
07007500,###,
07007504,###,
07007517,74,
07007518,59,
07007528,###,
07007531,###,
07007532,###,
07007534,###,
07007536,###,
07007546,###,
07007547,###,
07007549,###,
07007552,###,
07007554,###,
07007560,###,
07007561,###,
07007564,###,
07007566,###,
07007567,###,
07007578,###,
07007582,###,
07007583,###,
07007589,###,
07007594,###,
07007596,###,
07007598,###,
07007599,###,
07007609,###,
07007622,###,
07007622,###,
07007627,###,
07007641,###,
07007641,###,
07007647,###,
07007667,###,
07007687,###,
07007691,###,
07007710,###,
07007717,###,
07007718,###,
07007721,###,
07007722,###,
07007723,###,
07007726,###,
07007729,###,
07007730,###,
07007732,###,
07007734,###,
07007742,###,
07007750,###,
07007758,###,
07007768,###,
07007770,###,
07007771,###,
07007778,###,
07007780,###,
07007781,###,
07007781,###,
07007782,###,
07007788,###,
07007796,###,
07007800,###,
07007806,###,
07007815,###,
07007819,###,
07007820,###,
07007822,###,
07007824,###,
07007832,###,
07007835,###,
07007837,###,
07007838,###,
07007840,###,
07007842,###,
07007847,###,
07007849,###,
07007859,###,
07007864,###,
07007864,###,
07007866,###,
07007866,###,
07007866,###,
07007870,###,
07007872,###,
07007873,###,
07007874,###,
07007875,###,
07007879,###,
07007889,###,
07007901,###,
07007903,###,
07007906,###,
07007916,###,
07007917,###,
07007919,###,
07007929,###,
07007930,###,
07007936,###,
07007941,###,
07007943,###,
07007943,###,
07007950,###,
07007951,###,
07007952,###,
07007953,###,
07007957,###,
07007959,###,
07007964,###,
07007965,###,
07007966,###,
07007968,###,
07007972,###,
07007974,###,
07007977,###,
07008000,###,
07008006,###,
07008007,###,
07008011,###,
07008016,###,
07008017,###,
07008020,###,
07008028,###,
07008030,###,
07008032,###,
07008033,###,
07008034,###,
07008037,###,
07008038,###,
07008045,###,
07008052,###,
07008054,###,
07008054,###,
07008058,###,
07008062,###,
07008063,###,
07008065,###,
07008066,###,
07008067,###,
07008068,###,
07008073,###,
07008075,###,
07008077,###,
07008081,###,
07008084,###,
07008089,###,
07008091,###,
07008107,###,
07008113,###,
07008114,###,
07008115,###,
07008118,###,
07008122,###,
07008124,###,
07008126,###,
07008129,###,
07008130,###,
07008134,###,
07008136,###,
07008137,###,
07008145,###,
07008145,###,
07008147,###,
07008154,###,
07008160,###,
07008168,###,
07008169,###,
07008172,###,
07008180,###,
07008183,###,
07008187,###,
07008190,###,
07008192,###,
07008194,###,
07008194,###,
07008207,###,
07008214,###,
07008232,###,
07008232,###,
07008239,###,
07008241,###,
07008242,###,
07008243,###,
07008255,###,
07008262,###,
07008282,###,
07008286,###,
07008288,###,
07008292,###,
07008294,###,
07008297,###,
07008298,###,
07008302,###,
07008304,###,
07008306,###,
07008312,###,
07008321,###,
07008322,###,
07008335,###,
07008340,###,
07008342,###,
07008350,###,
07008365,###,
07008366,###,
07008370,###,
07008371,###,
07008384,###,
07008385,###,
07008390,###,
07008397,###,
07008399,###,
07008402,###,
07008402,###,
07008415,###,
07008416,###,
07008417,###,
07008418,###,
07008419,###,
07008421,###,
07008422,###,
07008425,###,
07008426,###,
07008430,###,
07008436,###,
07008438,###,
07008440,###,
07008451,###,
07008452,###,
07008463,###,
07008465,###,
07008473,###,
07008473,###,
07008475,76,
07008475,76,
07008476,76,
07008487,826,
07008500,329,
07008500,###,
07008502,48,
07008524,431,
07008543,77,
07008554,###,
07008577,###,
07008584,###,
07008588,###,
07008590,###,
07008592,###,
07008609,102,
07008617,###,
07008635,###,
07008639,###,
07008642,###,
07008643,###,
07008647,###,
07008648,###,
07008649,###,
07008650,###,
07008652,###,
07008653,###,
07008663,###,
07008666,###,
07008667,###,
07008674,###,
07008677,###,
07008677,###,
07008686,324,
07008687,125,
07008694,###,
07008723,106,
07008724,59,
07008725,76,
07008736,###,
07008740,###,
07008763,131,
07008763,###,
07008768,###,
07008783,###,
07008789,###,
07008794,###,
07008797,###,
07008811,###,
07008816,###,
07008823,###,
07008831,###,
